<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/14/21;09:55:00,662.7900000,665.2500000,662.4800000,664.9300000,7417
07/14/21;10:00:00,665.2200000,665.7500000,663.9000000,664.1100000,6904
07/14/21;10:05:00,664.0200000,668.3500000,663.9500000,667.8000000,10089
07/14/21;10:10:00,668.1800000,670.3000000,667.3800000,670.0000000,9399
07/14/21;10:15:00,670.0200000,672.8400000,669.6500000,672.5000000,17300
07/14/21;10:20:00,671.8000000,671.8500000,669.7000000,671.0000000,5820
07/14/21;10:25:00,670.0000000,671.2000000,669.1500000,671.1900000,3594
07/14/21;10:30:00,671.0100000,671.5000000,669.1500000,669.2000000,5248
07/14/21;10:35:00,668.8500000,668.8500000,666.3000000,666.4100000,3651
07/14/21;10:40:00,666.6800000,667.7800000,666.4000000,667.7800000,3431
07/14/21;10:45:00,667.5200000,669.6900000,667.5200000,668.5800000,3129
07/14/21;10:50:00,669.4500000,670.0400000,669.2900000,669.8100000,900
07/14/21;10:55:00,669.3800000,671.1300000,668.5600000,670.9500000,2940
07/14/21;11:00:00,671.1300000,672.7900000,670.0950000,672.7900000,4966
07/14/21;11:05:00,672.7000000,678.0000000,672.7000000,676.6100000,26661
07/14/21;11:10:00,676.6800000,678.4200000,675.9700000,677.0050000,12184
07/14/21;11:15:00,677.2800000,677.7300000,674.6000000,674.6000000,8485
07/14/21;11:20:00,674.6000000,675.6600000,673.4000000,674.1000000,6835
07/14/21;11:25:00,673.6900000,674.4100000,672.4200000,673.1400000,3313
07/14/21;11:30:00,672.8500000,672.8600000,670.4400000,671.2500000,5376
07/14/21;11:35:00,671.0500000,671.9700000,670.4700000,671.7900000,12003
07/14/21;11:40:00,671.7400000,672.1700000,669.0700000,669.9100000,4775
07/14/21;11:45:00,670.0900000,670.0900000,667.5100000,668.9600000,8438
07/14/21;11:50:00,668.8000000,669.1500000,666.8200000,667.6000000,5856
07/14/21;11:55:00,667.7200000,667.7200000,665.1800000,665.1800000,8035
07/14/21;12:00:00,665.1600000,665.4300000,664.4500000,665.3900000,4553
07/14/21;12:05:00,665.8000000,667.8500000,665.8000000,667.1100000,6588
07/14/21;12:10:00,666.5400000,667.3200000,665.7800000,665.8100000,3404
07/14/21;12:15:00,665.6700000,666.2300000,664.8000000,665.5500000,3273
07/14/21;12:20:00,665.6200000,666.7300000,664.5200000,666.4900000,5461
07/14/21;12:25:00,667.0500000,667.0500000,666.0200000,666.0200000,2726
07/14/21;12:30:00,665.2300000,665.2700000,663.6300000,663.8100000,2342
07/14/21;12:35:00,664.3800000,665.0300000,664.3400000,664.5500000,2443
07/14/21;12:40:00,665.0600000,665.5000000,663.8000000,665.2900000,2870
07/14/21;12:45:00,665.1900000,666.6600000,665.1900000,666.3300000,3235
07/14/21;12:50:00,666.4100000,666.4700000,664.2100000,664.2100000,6894
07/14/21;12:55:00,663.5000000,665.1600000,663.4300000,664.8700000,3143
07/14/21;13:00:00,664.1400000,664.8500000,663.9300000,664.8500000,1775
07/14/21;13:05:00,664.2600000,665.3200000,664.0000000,664.0000000,2601
07/14/21;13:10:00,664.0000000,664.4600000,663.9900000,664.0900000,1470
07/14/21;13:15:00,663.8000000,663.8000000,663.2600000,663.6000000,2530
07/14/21;13:20:00,663.4400000,663.4400000,662.4700000,662.6000000,3774
07/14/21;13:25:00,662.6650000,662.6800000,660.5400000,660.9400000,10106
07/14/21;13:30:00,661.0000000,661.2000000,660.6100000,661.2000000,1413
07/14/21;13:35:00,661.4300000,661.6050000,661.4300000,661.6050000,1128
07/14/21;13:40:00,661.7000000,662.0100000,660.5200000,662.0100000,3178
07/14/21;13:45:00,661.4600000,661.4600000,660.5400000,660.5800000,3789
07/14/21;13:50:00,661.4700000,661.5800000,660.7300000,660.8100000,2574
07/14/21;13:55:00,660.5300000,660.5300000,659.2500000,659.9100000,4960
07/14/21;14:00:00,660.0000000,660.0000000,657.9600000,658.1000000,8511
07/14/21;14:05:00,658.6300000,659.3200000,658.5700000,658.6800000,2186
07/14/21;14:10:00,658.9100000,658.9100000,658.0000000,658.1700000,2750
07/14/21;14:15:00,657.9000000,659.7900000,657.8400000,659.6100000,3881
07/14/21;14:20:00,659.5700000,660.4700000,659.0200000,660.3000000,6140
07/14/21;14:25:00,660.3200000,660.9700000,659.6000000,660.6600000,5338
07/14/21;14:30:00,660.6100000,660.6500000,659.5000000,659.6900000,2486
07/14/21;14:35:00,659.3000000,659.3800000,658.5900000,659.3800000,1993
07/14/21;14:40:00,659.4500000,659.6500000,658.5000000,658.9200000,3524
07/14/21;14:45:00,658.9900000,660.2400000,658.8000000,659.5000000,2512
07/14/21;14:50:00,660.0000000,660.3500000,659.8000000,659.8000000,2194
07/14/21;14:55:00,659.9000000,660.4500000,659.9000000,659.9050000,1416
07/14/21;15:00:00,660.1100000,660.5000000,659.9600000,660.1000000,2702
07/14/21;15:05:00,659.9200000,661.7000000,659.7000000,661.5300000,3614
07/14/21;15:10:00,661.3600000,662.5000000,661.2000000,662.1900000,4260
07/14/21;15:15:00,662.3600000,662.3600000,661.1800000,661.1800000,2300
07/14/21;15:20:00,660.6500000,660.8400000,658.0000000,658.0600000,7132
07/14/21;15:25:00,658.2600000,658.2600000,655.8000000,656.5700000,8190
07/14/21;15:30:00,656.5900000,657.5000000,655.5000000,655.8200000,1300
07/14/21;15:35:00,655.7900000,656.2400000,654.7700000,655.1900000,7736
07/14/21;15:40:00,655.6900000,655.9800000,655.4200000,655.9800000,4130
07/14/21;15:45:00,656.2800000,656.2800000,653.9700000,654.1300000,4871
07/14/21;15:50:00,654.6000000,655.5800000,654.2300000,655.0100000,11652
07/14/21;15:55:00,654.2000000,654.7100000,653.1300000,653.7700000,18740
07/14/21;16:00:00,653.6200000,654.3500000,652.9350000,653.1800000,19245
07/15/21;09:35:00,658.3900000,661.4500000,654.7400000,657.2400000,20934
07/15/21;09:40:00,655.9900000,660.5000000,654.3100000,657.9000000,11617
07/15/21;09:45:00,657.6100000,661.9900000,657.6100000,659.6000000,10497
07/15/21;09:50:00,659.8500000,664.5800000,659.8500000,664.1600000,15350
07/15/21;09:55:00,664.2100000,664.4900000,660.6000000,660.6600000,8474
07/15/21;10:00:00,661.0600000,665.4800000,661.0600000,663.9400000,15294
07/15/21;10:05:00,664.1200000,664.6600000,661.5000000,663.7700000,3339
07/15/21;10:10:00,661.9700000,665.1700000,661.7200000,665.1700000,3175
07/15/21;10:15:00,665.1500000,666.0000000,663.4900000,663.6700000,7210
07/15/21;10:20:00,663.6000000,664.7400000,660.6400000,660.8000000,5526
07/15/21;10:25:00,660.4900000,660.4900000,658.7000000,659.0000000,5976
07/15/21;10:30:00,659.0000000,659.0000000,656.0000000,656.5700000,14685
07/15/21;10:35:00,656.8000000,658.0300000,656.7000000,657.5000000,7603
07/15/21;10:40:00,657.0000000,659.1200000,656.0000000,658.7200000,8139
07/15/21;10:45:00,658.4700000,658.4700000,655.0000000,655.1300000,9099
07/15/21;10:50:00,654.9200000,655.7600000,653.6200000,653.9700000,7748
07/15/21;10:55:00,654.2100000,655.1800000,652.7800000,654.5300000,7264
07/15/21;11:00:00,654.8400000,656.2400000,654.8400000,655.2300000,3292
